memory;storage;selling_price_dolar
4;64;2
4;64;3
4;128;3
4;128;3
4;128;2
4;64;2
4;64;2
4;64;3
2;16;1
6;128;1
4;128;3
4;128;2
2;16;1
2;32;1
2;16;1
4;64;3
4;128;3
4;64;3
4;128;3
4;128;3
4;32;2
4;64;3
4;128;3
4;128;2
4;64;3
4;64;2
4;64;3
2;16;1
4;128;3
